#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
1403638129695097088.0000000000,4.6304285300,-1.7089230865,0.5934252807,0.5177596401,0.7857565457,-0.2884046889,0.177015087998
1403638129745096960.0000000000,4.6306944381,-1.7081088690,0.6003197164,0.5214061138,0.7832112676,-0.2884830113,0.17746359357
1403638129795097088.0000000000,4.6304825665,-1.7072738470,0.6079204169,0.5218352639,0.7830865853,-0.2890553360,0.175813452065
1403638129845096960.0000000000,4.6297027466,-1.7064570789,0.6162028514,0.5172684881,0.7869778469,-0.2876369059,0.174253235359
1403638129895097088.0000000000,4.6286399232,-1.7052582262,0.6264462279,0.5119891586,0.7915682497,-0.2851021437,0.173215401285
1403638129945096960.0000000000,4.6279600712,-1.7038640313,0.6396164262,0.5094834911,0.7941344912,-0.2821404544,0.17370591852
1403638129995097088.0000000000,4.6277633240,-1.7016933612,0.6561908476,0.5132090996,0.7920005591,-0.2817173545,0.173167163686
1403638130045096960.0000000000,4.6281045230,-1.6994771070,0.6754077944,0.5213725722,0.7861464668,-0.2841499289,0.171473588627
1403638130095097088.0000000000,4.6284529895,-1.6975694487,0.6956640076,0.5291457539,0.7806242435,-0.2865233267,0.168922896323
1403638130145096960.0000000000,4.6282415200,-1.6959079523,0.7156849888,0.5334093264,0.7782817449,-0.2865478486,0.166259876663
1403638130195097088.0000000000,4.6276764732,-1.6944425933,0.7352616017,0.5339174741,0.7792888961,-0.2836119682,0.164939985299
1403638130245096960.0000000000,4.6271123313,-1.6930132430,0.7553323343,0.5343280568,0.7803863731,-0.2804693764,0.163791224804
1403638130295097088.0000000000,4.6268829640,-1.6914049418,0.7769824585,0.5389111541,0.7777442633,-0.2804610415,0.161338876625
1403638130345096960.0000000000,4.6270492809,-1.6897567594,0.7997074930,0.5457727377,0.7724039834,-0.2843000674,0.157154945355
1403638130395097088.0000000000,4.6270277814,-1.6884224261,0.8221989396,0.5512874298,0.7682855539,-0.2871549260,0.15284477677
1403638130445096960.0000000000,4.6262848221,-1.6871553033,0.8433924477,0.5535940737,0.7674663642,-0.2867644429,0.149315557294
1403638130495097088.0000000000,4.6252078508,-1.6863522327,0.8631529546,0.5523071851,0.7700608784,-0.2820480095,0.149706169127
1403638130545096960.0000000000,4.6241106227,-1.6857190502,0.8822442057,0.5489587499,0.7738667490,-0.2764449131,0.152816084847
1403638130595097088.0000000000,4.6231970315,-1.6847369692,0.9018205256,0.5484397328,0.7746894934,-0.2737877688,0.155274936799
1403638130645096960.0000000000,4.6228185538,-1.6839091400,0.9222932971,0.5523096620,0.7717372031,-0.2734342589,0.156873938856
1403638130695097088.0000000000,4.6228592120,-1.6832799780,0.9435722070,0.5583280042,0.7666182068,-0.2766076355,0.155095392321
1403638130745096960.0000000000,4.6226685485,-1.6824648947,0.9648519304,0.5661972694,0.7598849863,-0.2827591196,0.14846797625
1403638130795097088.0000000000,4.6222318663,-1.6820673547,0.9843140109,0.5714577872,0.7555529981,-0.2874641521,0.141209156269
1403638130845096960.0000000000,4.6219608266,-1.6825674650,1.0009325774,0.5732478263,0.7546098320,-0.2879027113,0.138068678372
1403638130895097088.0000000000,4.6216363237,-1.6838736069,1.0140858267,0.5753420494,0.7534734684,-0.2877914510,0.135776799607
1403638130945096960.0000000000,4.6224393857,-1.6857148998,1.0238896651,0.5800781962,0.7489702707,-0.2891081895,0.137728989894
1403638130995097088.0000000000,4.6239067658,-1.6876855203,1.0296513732,0.5872912705,0.7417812693,-0.2911186248,0.141772558409
1403638131045096960.0000000000,4.6250379999,-1.6889138555,1.0309189735,0.5934216524,0.7356904133,-0.2929760533,0.144136707762
1403638131095097088.0000000000,4.6261631464,-1.6898518843,1.0267175475,0.5946903291,0.7341500336,-0.2927309603,0.147226782528
1403638131145096960.0000000000,4.6263353024,-1.6902465238,1.0177860170,0.5907938818,0.7377397587,-0.2906631704,0.149055556781
1403638131195097088.0000000000,4.6260877092,-1.6904104021,1.0052499983,0.5828187121,0.7452246769,-0.2859987011,0.152207991622
1403638131245096960.0000000000,4.6258634630,-1.6907393971,0.9907177497,0.5730681062,0.7539968036,-0.2804380926,0.156320958685
1403638131295097088.0000000000,4.6256303404,-1.6912456137,0.9757983129,0.5661029333,0.7603392537,-0.2764236526,0.158119108413
1403638131345096960.0000000000,4.6258529103,-1.6922238522,0.9610684348,0.5626385386,0.7633223390,-0.2747855063,0.158964798466
1403638131395097088.0000000000,4.6266504827,-1.6924519128,0.9437289418,0.5622804542,0.7630541384,-0.2760169853,0.159385371222
1403638131445096960.0000000000,4.6269506490,-1.6939525026,0.9273699944,0.5629587519,0.7621149884,-0.2766885090,0.160317363547
1403638131495097088.0000000000,4.6275920018,-1.6962274327,0.9090225914,0.5610188719,0.7631722782,-0.2747020949,0.165422665626
1403638131545096960.0000000000,4.6272695152,-1.6982202325,0.8894975622,0.5584607715,0.7649807905,-0.2745011829,0.166057392319
1403638131595097088.0000000000,4.6270446843,-1.7004386581,0.8688359884,0.5554514150,0.7672561878,-0.2741593543,0.166217677335
1403638131645096960.0000000000,4.6270178675,-1.7026453032,0.8476821211,0.5533788535,0.7692642716,-0.2723517669,0.166819782796
1403638131695097088.0000000000,4.6274675815,-1.7048614764,0.8254363502,0.5528120529,0.7697252283,-0.2709598326,0.168827356316
1403638131745096960.0000000000,4.6276457809,-1.7070794275,0.8024277599,0.5522239519,0.7702022022,-0.2697380883,0.170524597746
1403638131795097088.0000000000,4.6279815591,-1.7097851883,0.7787088536,0.5502246740,0.7715223488,-0.2668746583,0.175453669788
1403638131845096960.0000000000,4.6282495263,-1.7126820576,0.7549320698,0.5470964149,0.7734009204,-0.2647347197,0.180144545321
1403638131895097088.0000000000,4.6283044197,-1.7153954919,0.7324220877,0.5452953492,0.7741957028,-0.2638439878,0.183467561203
1403638131945096960.0000000000,4.6282777896,-1.7177524606,0.7122689216,0.5441976417,0.7748712879,-0.2626418747,0.185587336954
1403638131995097088.0000000000,4.6281892316,-1.7200748454,0.6952719558,0.5406572504,0.7780157531,-0.2583905435,0.188720832163
1403638132045096960.0000000000,4.6275917333,-1.7217579045,0.6828220843,0.5357255419,0.7829294410,-0.2515579530,0.191672195455
1403638132095097088.0000000000,4.6269947029,-1.7229936794,0.6761824548,0.5292850707,0.7887381769,-0.2451159018,0.194081418471
1403638132145096960.0000000000,4.6262944218,-1.7231555251,0.6777960149,0.5262753314,0.7920382082,-0.2403833067,0.194745008057
1403638132195097088.0000000000,4.6260844075,-1.7229057799,0.6881356840,0.5279155568,0.7915464824,-0.2391041173,0.193877673236
1403638132245096960.0000000000,4.6259411212,-1.7221421351,0.7063153133,0.5350741592,0.7869203919,-0.2411009451,0.190584037212
1403638132295097088.0000000000,4.6253899022,-1.7212390838,0.7295830399,0.5435152615,0.7813265684,-0.2438213185,0.186201822524
1403638132345096960.0000000000,4.6249469043,-1.7205212828,0.7557942193,0.5491270062,0.7775776360,-0.2449090727,0.183989394191
1403638132395097088.0000000000,4.6233217658,-1.7193359971,0.7835977071,0.5536942567,0.7753018415,-0.2474999889,0.176276714789
1403638132445096960.0000000000,4.6224205262,-1.7184494731,0.8125742317,0.5602306109,0.7711851658,-0.2502111710,0.169733533833
1403638132495097088.0000000000,4.6214893839,-1.7174250006,0.8423385441,0.5704548131,0.7637527803,-0.2552793090,0.161540927588
1403638132545096960.0000000000,4.6210973439,-1.7165563482,0.8713397522,0.5825425352,0.7541972659,-0.2603079612,0.155146525057
1403638132595097088.0000000000,4.6201792826,-1.7149820626,0.8980750145,0.5930339173,0.7456055039,-0.2644031228,0.149913955779
1403638132645096960.0000000000,4.6199213138,-1.7127061589,0.9286692364,0.5975740938,0.7418814894,-0.2667080356,0.146232287559
1403638132695097088.0000000000,4.6172603994,-1.7100562175,0.9478057892,0.5945963807,0.7444325000,-0.2678874872,0.143219032376
1403638132745096960.0000000000,4.6136917601,-1.7064963560,0.9636961344,0.5901762297,0.7481711215,-0.2689187021,0.140052570101
1403638132795097088.0000000000,4.6100469571,-1.7031121108,0.9763977642,0.5882991122,0.7491826898,-0.2709912186,0.138539565796
1403638132845096960.0000000000,4.6063478065,-1.7006797564,0.9859776333,0.5922502896,0.7456132364,-0.2727543475,0.137497498537
1403638132895097088.0000000000,4.6037842286,-1.6989095637,0.9917371694,0.5987520076,0.7392521202,-0.2765911882,0.136013421344
1403638132945096960.0000000000,4.6022199728,-1.6982592159,0.9932430903,0.6049045087,0.7342216485,-0.2776671270,0.133828520141
1403638132995097088.0000000000,4.6022668619,-1.6985964076,0.9901724288,0.6081623453,0.7327583425,-0.2751409474,0.132292222734
1403638133045096960.0000000000,4.6044666201,-1.7005054613,0.9828690849,0.6057439350,0.7366033101,-0.2689989025,0.134645605593
1403638133095097088.0000000000,4.6092834076,-1.7038210633,0.9728129140,0.6004652698,0.7421652719,-0.2630020660,0.139506566757
1403638133145096960.0000000000,4.6158261408,-1.7073740388,0.9611870459,0.5958850250,0.7458801128,-0.2612102871,0.142664221631
1403638133195097088.0000000000,4.6255609811,-1.7128249856,0.9497310312,0.5925462750,0.7468552717,-0.2626459939,0.148705066932
1403638133245096960.0000000000,4.6371139319,-1.7197601498,0.9384764458,0.5904497298,0.7457426242,-0.2673588855,0.154130728345
1403638133295097088.0000000000,4.6503831594,-1.7284801245,0.9256415764,0.5865820878,0.7450690115,-0.2724802329,0.162936015263
1403638133345096960.0000000000,4.6647976028,-1.7396428312,0.9121574571,0.5803815956,0.7467351254,-0.2767875304,0.170095616848
1403638133395097088.0000000000,4.6801298348,-1.7523343193,0.8989072282,0.5739165575,0.7484813193,-0.2811455313,0.177066907916
1403638133445096960.0000000000,4.6963720143,-1.7671302728,0.8865358406,0.5673204152,0.7490185334,-0.2869625859,0.186470526808
1403638133495097088.0000000000,4.7124818478,-1.7829605239,0.8759001653,0.5633160511,0.7469172476,-0.2952696078,0.193921403022
1403638133545096960.0000000000,4.7288236116,-1.8001835225,0.8661200779,0.5603854688,0.7433394114,-0.3061344004,0.199239490835
1403638133595097088.0000000000,4.7432917271,-1.8184161659,0.8567485606,0.5573105874,0.7410279049,-0.3167002359,0.199958780528
1403638133645096960.0000000000,4.7562432703,-1.8366701772,0.8475578064,0.5543075331,0.7395596215,-0.3261571946,0.198535159058
1403638133695097088.0000000000,4.7680474795,-1.8550558577,0.8382227977,0.5506144450,0.7385396531,-0.3343127289,0.199042490659
1403638133745096960.0000000000,4.7794263974,-1.8732408968,0.8283982368,0.5458678316,0.7373892095,-0.3418357717,0.203552866377
1403638133795097088.0000000000,4.7907204064,-1.8895299829,0.8184219055,0.5416451088,0.7357245956,-0.3478397462,0.210564494835
1403638133845096960.0000000000,4.8016322438,-1.9036692032,0.8080932589,0.5360109939,0.7354689260,-0.3519343716,0.218906079031
1403638133895097088.0000000000,4.8112889194,-1.9136637937,0.7987492405,0.5313512226,0.7354523542,-0.3558141644,0.223991056496
1403638133945096960.0000000000,4.8193634801,-1.9184623688,0.7914168730,0.5291259435,0.7341708065,-0.3592767065,0.22790175752
1403638133995097088.0000000000,4.8255064411,-1.9170026172,0.7864689290,0.5289902818,0.7326414346,-0.3608814217,0.230587097667
1403638134045096960.0000000000,4.8293934309,-1.9101766575,0.7829605062,0.5279531968,0.7333659179,-0.3601126107,0.231859354145
1403638134095097088.0000000000,4.8312268464,-1.8990061725,0.7801021534,0.5247906514,0.7371118465,-0.3568281995,0.232238097639
1403638134145096960.0000000000,4.8322595155,-1.8840627143,0.7784661474,0.5219099832,0.7408501903,-0.3527350946,0.233085645224
1403638134195097088.0000000000,4.8331102648,-1.8658486640,0.7790182594,0.5227607292,0.7404722676,-0.3512909408,0.234556423467
1403638134245096960.0000000000,4.8336989478,-1.8444977933,0.7817889060,0.5296067202,0.7344425039,-0.3532515946,0.23521105684
1403638134295097088.0000000000,4.8332406090,-1.8209756890,0.7847778222,0.5352581630,0.7291657057,-0.3558665662,0.234893719912
1403638134345096960.0000000000,4.8307455475,-1.7958187967,0.7866835011,0.5364975653,0.7281008375,-0.3586980138,0.231030880501
1403638134395097088.0000000000,4.8268157905,-1.7697186596,0.7878224099,0.5361035104,0.7289611508,-0.3608840878,0.225768336862
1403638134445096960.0000000000,4.8216580003,-1.7438990613,0.7887996413,0.5352207203,0.7299572235,-0.3628377054,0.221472417999
1403638134495097088.0000000000,4.8155888714,-1.7184814157,0.7904119529,0.5366427125,0.7288458574,-0.3648745725,0.218322837851
1403638134545096960.0000000000,4.8081312527,-1.6942808607,0.7922865024,0.5387133276,0.7269852524,-0.3678096446,0.214467850338
1403638134595097088.0000000000,4.7984142496,-1.6705922901,0.7943925979,0.5417189726,0.7254826249,-0.3692792917,0.209399905504
1403638134645096960.0000000000,4.7869742887,-1.6485392019,0.7962969434,0.5412393307,0.7264213118,-0.3700161106,0.206058590159
1403638134695097088.0000000000,4.7737865772,-1.6276258214,0.7982883372,0.5389709824,0.7291290340,-0.3694478163,0.203443955374
1403638134745096960.0000000000,4.7592729175,-1.6074706669,0.8003974724,0.5357334761,0.7330332806,-0.3684046604,0.199824568955
1403638134795097088.0000000000,4.7447896335,-1.5880392613,0.8033577355,0.5310748624,0.7377389956,-0.3665225096,0.198398373954
1403638134845096960.0000000000,4.7306088675,-1.5695280801,0.8078785665,0.5279917178,0.7407419921,-0.3645915629,0.198995073571
1403638134895097088.0000000000,4.7167151512,-1.5525650517,0.8132751344,0.5279047725,0.7409773354,-0.3634989506,0.200343835646
1403638134945096960.0000000000,4.7036497478,-1.5369462696,0.8183990784,0.5309824186,0.7386530298,-0.3630686289,0.201570194771
1403638134995097088.0000000000,4.6911125531,-1.5228223449,0.8217086385,0.5333031988,0.7368063129,-0.3630747606,0.202190191632
1403638135045096960.0000000000,4.6790258405,-1.5105416337,0.8225212228,0.5316115172,0.7388381720,-0.3606110175,0.203634585552
1403638135095097088.0000000000,4.6679670202,-1.5000214941,0.8214808543,0.5279189557,0.7429626905,-0.3572223345,0.204206318471
1403638135145096960.0000000000,4.6579704581,-1.4918935358,0.8188538369,0.5250493275,0.7467330972,-0.3538046624,0.203801732192
1403638135195097088.0000000000,4.6502179359,-1.4868548124,0.8151440900,0.5224296268,0.7494466051,-0.3517565430,0.204118606738
1403638135245096960.0000000000,4.6447042341,-1.4854487124,0.8106206962,0.5195500906,0.7518597425,-0.3507315836,0.204357498645
1403638135295097088.0000000000,4.6423921225,-1.4872189393,0.8057541917,0.5194804542,0.7518849510,-0.3498230933,0.205992430667
1403638135345096960.0000000000,4.6420029251,-1.4917855504,0.8002272581,0.5211982118,0.7499399668,-0.3504173500,0.20772614433
1403638135395097088.0000000000,4.6429693567,-1.4989186346,0.7944990579,0.5216107930,0.7485318447,-0.3511951619,0.210438153263
1403638135445096960.0000000000,4.6456886739,-1.5087776615,0.7883335564,0.5186919358,0.7491771802,-0.3513587843,0.215033097684
1403638135495097088.0000000000,4.6498477915,-1.5201713563,0.7824810008,0.5149997641,0.7507999178,-0.3513343356,0.218263398206
1403638135545096960.0000000000,4.6555762074,-1.5327283945,0.7780485867,0.5102738860,0.7532136545,-0.3525543159,0.219078082442
1403638135595097088.0000000000,4.6641199881,-1.5471863383,0.7760242000,0.5054122220,0.7550307592,-0.3529811420,0.223363721059
1403638135645096960.0000000000,4.6747522840,-1.5628321079,0.7757214269,0.5052189058,0.7529231358,-0.3551616846,0.227422045193
1403638135695097088.0000000000,4.6859571492,-1.5797192436,0.7754918289,0.5079801825,0.7475766373,-0.3608938824,0.229871509951
1403638135745096960.0000000000,4.6959763848,-1.5970374537,0.7746977325,0.5114149801,0.7421008811,-0.3673735041,0.229733995892
1403638135795097088.0000000000,4.7040060352,-1.6151182226,0.7724072723,0.5115340734,0.7400591438,-0.3721256820,0.228402785028
1403638135845096960.0000000000,4.7107718952,-1.6335437983,0.7699010294,0.5083396883,0.7416583727,-0.3719776813,0.230578021498
1403638135895097088.0000000000,4.7163911810,-1.6528555647,0.7678974681,0.5007895967,0.7463668112,-0.3696879471,0.235535952113
1403638135945096960.0000000000,4.7211152808,-1.6720538080,0.7686894945,0.4933323299,0.7511693301,-0.3677004603,0.239090403928
1403638135995097088.0000000000,4.7269690012,-1.6914970301,0.7732565549,0.4889410170,0.7527399431,-0.3673196398,0.243712006468
1403638136045096960.0000000000,4.7350150743,-1.7112545980,0.7814821768,0.4892754135,0.7501874675,-0.3677907789,0.250116525436
1403638136095097088.0000000000,4.7451708146,-1.7318407631,0.7914588141,0.4942756047,0.7437260667,-0.3705767860,0.255413409946
1403638136145096960.0000000000,4.7557770310,-1.7537349066,0.8010496438,0.5008446956,0.7360528596,-0.3757355154,0.257300604811
1403638136195097088.0000000000,4.7659528142,-1.7767003870,0.8079267910,0.5072944335,0.7291880866,-0.3801638950,0.257706237891
1403638136245096960.0000000000,4.7757332551,-1.8004342790,0.8104964752,0.5084976749,0.7261451091,-0.3833017415,0.25927431442
1403638136295097088.0000000000,4.7851921755,-1.8237411396,0.8094459400,0.5068880328,0.7249446663,-0.3842190927,0.264377460834
1403638136345096960.0000000000,4.7935980015,-1.8458633241,0.8056147109,0.5031490749,0.7252635112,-0.3849394514,0.269546780057
1403638136395097088.0000000000,4.8000707325,-1.8649556354,0.8005763326,0.4998163549,0.7262497606,-0.3857112416,0.271977452463
1403638136445096960.0000000000,4.8050353899,-1.8811854619,0.7959202703,0.4957881627,0.7276677326,-0.3861940904,0.274859770186
1403638136495097088.0000000000,4.8080051058,-1.8924920772,0.7936248089,0.4933026901,0.7276730456,-0.3885852509,0.275945460981
1403638136545096960.0000000000,4.8085460239,-1.8982150862,0.7945601890,0.4918011391,0.7264577436,-0.3944444524,0.273503858063
1403638136595097088.0000000000,4.8067412306,-1.8989390822,0.7984368387,0.4931810528,0.7244346122,-0.3988852269,0.269921317566
1403638136645096960.0000000000,4.8023960092,-1.8950494681,0.8043211595,0.4969539190,0.7229113952,-0.4005838939,0.264515521251
1403638136695097088.0000000000,4.7956631443,-1.8876727168,0.8112784211,0.5007143827,0.7225716079,-0.4003793750,0.258595697121
1403638136745096960.0000000000,4.7869641793,-1.8774761100,0.8190805730,0.5038597466,0.7235178039,-0.3988286554,0.252156790193
1403638136795097088.0000000000,4.7765344833,-1.8641871392,0.8276364015,0.5094302591,0.7236360993,-0.3966819178,0.243875097389
1403638136845096960.0000000000,4.7650781550,-1.8482168715,0.8357196120,0.5178720790,0.7213371856,-0.3956519870,0.234394282631
1403638136895097088.0000000000,4.7528246489,-1.8306377932,0.8413978496,0.5287457430,0.7162296561,-0.3960962098,0.224835076341
1403638136945096960.0000000000,4.7404264125,-1.8121652918,0.8434918548,0.5399731066,0.7099479088,-0.3964258912,0.217369555878
1403638136995097088.0000000000,4.7279936772,-1.7938656929,0.8406734805,0.5477797790,0.7057243911,-0.3960939909,0.212131911764
1403638137045096960.0000000000,4.7151608502,-1.7762671209,0.8326184449,0.5517824606,0.7049644318,-0.3944045119,0.207379717227
1403638137095097088.0000000000,4.7029796785,-1.7606023093,0.8199336670,0.5506672689,0.7080825954,-0.3910420719,0.20608419402
1403638137145096960.0000000000,4.6913331677,-1.7467058891,0.8038860080,0.5469143312,0.7133704196,-0.3864161082,0.206567059525
1403638137195097088.0000000000,4.6798889525,-1.7344219684,0.7856820806,0.5417117481,0.7202581409,-0.3812089797,0.206049281006
1403638137245096960.0000000000,4.6678907751,-1.7214242431,0.7652443220,0.5354038318,0.7277911816,-0.3757022154,0.206180935483
1403638137295097088.0000000000,4.6579512830,-1.7120455521,0.7453778344,0.5311097539,0.7333674686,-0.3709522628,0.206128610596
1403638137345096960.0000000000,4.6487678900,-1.7040398703,0.7250403799,0.5281390893,0.7372453145,-0.3684044292,0.204491137123
1403638137395097088.0000000000,4.6411350573,-1.6977074157,0.7047220045,0.5240470256,0.7409081920,-0.3659361632,0.206204971994
1403638137445096960.0000000000,4.6344672403,-1.6924523266,0.6845639679,0.5178919055,0.7455805025,-0.3637531961,0.208761349206
1403638137495097088.0000000000,4.6288463086,-1.6881143599,0.6651111126,0.5104869670,0.7512313424,-0.3605160997,0.212326796538
1403638137545096960.0000000000,4.6240835586,-1.6845687730,0.6465479127,0.5018248703,0.7577475789,-0.3568438524,0.215992757428
1403638137595097088.0000000000,4.6210427103,-1.6820432699,0.6298461919,0.4938758448,0.7630733883,-0.3528403165,0.222057121023
1403638137645096960.0000000000,4.6183062798,-1.6792776522,0.6157631983,0.4905224798,0.7646852286,-0.3518994215,0.225412943484
1403638137695097088.0000000000,4.6164551823,-1.6774320483,0.6037472911,0.4895451531,0.7636006914,-0.3531227580,0.229268063621
1403638137745096960.0000000000,4.6148736982,-1.6762033134,0.5934907577,0.4901653155,0.7614096878,-0.3552200584,0.231974052073
1403638137795097088.0000000000,4.6130439304,-1.6755546116,0.5841378734,0.4889413932,0.7609203927,-0.3580052594,0.231880797621
1403638137845096960.0000000000,4.6113487001,-1.6755166203,0.5755994504,0.4851356912,0.7628708654,-0.3581157060,0.233290687743
1403638137895097088.0000000000,4.6095737772,-1.6756082023,0.5677369316,0.4782572899,0.7674333318,-0.3566059088,0.234836691554
1403638137945096960.0000000000,4.6079255779,-1.6759766594,0.5608743868,0.4697369449,0.7733027772,-0.3544230422,0.236081182022
1403638137995097088.0000000000,4.6061883172,-1.6757315001,0.5555769801,0.4634921210,0.7782017782,-0.3522061620,0.235643513901
1403638138045096960.0000000000,4.6053573660,-1.6754034781,0.5518336407,0.4611786045,0.7803065880,-0.3500134123,0.236487916654
1403638138095097088.0000000000,4.6050197751,-1.6747687547,0.5492825084,0.4625988050,0.7796298652,-0.3491080658,0.237282905709
1403638138145096960.0000000000,4.6056705633,-1.6745393517,0.5493813161,0.4700911217,0.7736147894,-0.3517817973,0.238294066381
1403638138195097088.0000000000,4.6060761190,-1.6744248832,0.5484896104,0.4749450041,0.7693661049,-0.3542869507,0.238712790308
1403638138245096960.0000000000,4.6062973748,-1.6744210628,0.5469850794,0.4781845262,0.7669694497,-0.3555357317,0.238100326818
1403638138295097088.0000000000,4.6063730983,-1.6744387990,0.5465496232,0.4810345360,0.7647158483,-0.3559443986,0.238995882195
1403638138345096960.0000000000,4.6059430229,-1.6746308408,0.5466604100,0.4834802103,0.7628860012,-0.3553943435,0.240721199911
1403638138395097088.0000000000,4.6056136232,-1.6748900964,0.5465833447,0.4873754179,0.7600602905,-0.3552579407,0.242002794167
1403638138445096960.0000000000,4.6052267438,-1.6754606781,0.5462141207,0.4874320337,0.7601416148,-0.3545211392,0.242712792827
1403638138495097088.0000000000,4.6054494284,-1.6756819733,0.5460917338,0.4875047213,0.7601225992,-0.3542870683,0.242968010404
1403638138545096960.0000000000,4.6053683746,-1.6756293713,0.5461135096,0.4878331226,0.7599034070,-0.3545425324,0.24262161767
1403638138595097088.0000000000,4.6053035172,-1.6758637677,0.5459662600,0.4877193268,0.7599970310,-0.3544141389,0.242744699768
1403638138645096960.0000000000,4.6051461213,-1.6757982787,0.5459240834,0.4879132958,0.7598253014,-0.3547866206,0.242348057501
1403638138695097088.0000000000,4.6051217295,-1.6757195445,0.5458864985,0.4880198676,0.7597195893,-0.3550310641,0.242106790368
1403638138745096960.0000000000,4.6051781284,-1.6757918424,0.5458674285,0.4879748203,0.7598222196,-0.3547875649,0.242232436245
1403638138795097088.0000000000,4.6050346127,-1.6759404371,0.5457991445,0.4878923843,0.7599589717,-0.3546412481,0.242183748053
1403638138845096960.0000000000,4.6050657191,-1.6759685581,0.5457643705,0.4878711943,0.7600694086,-0.3543221190,0.242346916301
1403638138895097088.0000000000,4.6048235713,-1.6754075545,0.5460378961,0.4885331431,0.7594282880,-0.3556308864,0.241103123446
1403638138945096960.0000000000,4.6050399900,-1.6758493422,0.5458948906,0.4878134567,0.7599883466,-0.3547741172,0.242055923701
1403638138995097088.0000000000,4.6047581008,-1.6755406405,0.5459707361,0.4883158438,0.7596405044,-0.3553226268,0.241329176894
1403638139045096960.0000000000,4.6049064468,-1.6755983848,0.5459766858,0.4881076841,0.7598114158,-0.3549493510,0.24176116167
1403638139095097088.0000000000,4.6048611130,-1.6755393365,0.5460199616,0.4881072906,0.7598086687,-0.3550932861,0.241559139642
1403638139145096960.0000000000,4.6047863232,-1.6754615731,0.5460403938,0.4882251260,0.7597224942,-0.3551594194,0.241494813537
1403638139195097088.0000000000,4.6049225401,-1.6755444435,0.5460552180,0.4880743204,0.7598219321,-0.3549289573,0.241825400861
1403638139245096960.0000000000,4.6047844919,-1.6753451992,0.5461084377,0.4882925523,0.7596244295,-0.3553890865,0.241329042337
1403638139295097088.0000000000,4.6049452905,-1.6755410355,0.5460296713,0.4880714383,0.7597975320,-0.3549338407,0.241900703239
1403638139345096960.0000000000,4.6047923315,-1.6753755064,0.5461292950,0.4882313896,0.7596554463,-0.3553800463,0.241368464837
1403638139395097088.0000000000,4.6049287252,-1.6753967158,0.5461603426,0.4881017124,0.7597569344,-0.3551138999,0.24170278666
1403638139445096960.0000000000,4.6049335202,-1.6754850316,0.5461260828,0.4882027746,0.7596820040,-0.3552766443,0.241494947554
1403638139495097088.0000000000,4.6049208068,-1.6755173672,0.5461391008,0.4881539684,0.7597068766,-0.3552573861,0.241543690442
1403638139545096960.0000000000,4.6049603434,-1.6755541695,0.5460994578,0.4881624410,0.7597048660,-0.3552375821,0.241562016992
1403638139595097088.0000000000,4.6049242230,-1.6755123061,0.5460950368,0.4881825791,0.7596767487,-0.3553118517,0.241500507386
1403638139645096960.0000000000,4.6049203523,-1.6755447490,0.5460656703,0.4881163361,0.7597232101,-0.3552439461,0.241588131611
1403638139695097088.0000000000,4.6048785211,-1.6754878974,0.5460624875,0.4881677868,0.7596624221,-0.3553648416,0.241497506744
